Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.5,-125.5,290.0,bottom
C1,185.98,-130.0,0.0,bottom
C10,186.5,-125.0,90.0,bottom
C11,185.0,-124.5,90.0,bottom
C12,173.0,-107.98,90.0,bottom
C13,183.0,-125.0,180.0,bottom
C15,180.0,-107.5,270.0,bottom
C16,176.5,-124.0,270.0,bottom
C17,178.0,-124.5,270.0,bottom
C2,181.5,-130.0,180.0,bottom
D1,178.0,-143.5,120.0,bottom
D2,161.0,-134.0,110.0,bottom
D3,142.0,-128.0,101.0,bottom
D4,123.0,-125.0,90.1,bottom
J1,174.95,-133.5,90.0,bottom
R1,182.5,-107.5,270.0,bottom
SW1,138.46125793760342,-119.43841633897317,10.099999999999994,bottom
SW2,172.974834,-142.105672,150.0,top
SW3,155.655072,-133.735198,160.0,top
SW4,137.148218,-128.487791,169.9,top
SW5,118.012554,-126.691744,179.9,top
U2,179.715,-116.14638,270.0,bottom
U3,184.0,-133.5,180.0,bottom
