Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.0,-125.0,70.0,bottom
C1,108.440672,-130.0,180.0,bottom
C10,107.920672,-125.0,90.0,bottom
C11,109.420672,-124.5,90.0,bottom
C12,121.420672,-107.98,90.0,bottom
C13,111.420672,-125.0,0.0,bottom
C15,114.420672,-107.5,270.0,bottom
C16,117.920672,-124.0,270.0,bottom
C17,116.420672,-124.5,270.0,bottom
C2,112.920672,-130.0,0.0,bottom
D1,124.5,-146.5,330.0,bottom
D2,143.435667,-130.949507,70.0,bottom
D3,162.5,-127.5,79.9,bottom
D4,181.5,-126.0,89.9,bottom
J1,120.55,-133.0,270.0,bottom
R1,111.920672,-107.5,270.0,bottom
SW1,155.95941406239658,-119.43841633897317,349.9,bottom
SW2,121.445838,-142.105672,120.0,top
SW3,138.7656,-133.735198,200.0,top
SW4,157.272454,-128.487791,190.1,top
SW5,176.408118,-126.691744,180.1,top
U2,114.705672,-116.14638,270.0,top
U3,110.420672,-133.5,0.0,bottom
