Designator,Mid X,Mid Y,Rotation,Layer
D1,113.0,-78.5,270.0,top
D10,176.5,-104.5,270.0,top
D11,112.5,-111.0,270.0,top
D12,129.0,-109.0,270.0,top
D13,145.0,-107.5,270.0,top
D14,160.5,-110.5,270.0,top
D15,177.0,-121.15,270.0,top
D16,177.0,-137.0,270.0,top
D2,138.5,-75.0,270.0,top
D3,145.0,-74.65,270.0,top
D4,160.5,-78.65,270.0,top
D5,177.0,-88.5,270.0,top
D6,112.5,-94.65,270.0,top
D7,129.0,-93.5,270.0,top
D8,145.0,-91.0,270.0,top
D9,160.5,-94.65,270.0,top
J1,126.5,-76.55,0.0,top
SW1,118.0,-76.087868,0.0,bottom
SW10,182.0,-102.087868,0.0,bottom
SW11,118.0,-108.087868,0.0,bottom
SW12,134.0,-106.087868,0.0,bottom
SW13,150.0,-104.087868,0.0,bottom
SW14,166.0,-108.087868,0.0,bottom
SW15,182.0,-118.087868,0.0,bottom
SW16,182.0,-134.087868,0.0,bottom
SW2,134.0,-74.087868,0.0,bottom
SW3,150.0,-72.087868,0.0,bottom
SW4,166.0,-76.087868,0.0,bottom
SW5,182.0,-86.087868,0.0,bottom
SW6,118.0,-92.087868,0.0,bottom
SW7,134.0,-90.087868,0.0,bottom
SW8,150.0,-88.087868,0.0,bottom
SW9,166.0,-92.087868,0.0,bottom
