Designator,Mid X,Mid Y,Rotation,Layer
D1,179.5,-76.5,270.0,top
D10,115.5,-103.0,270.0,top
D11,180.0,-109.0,270.0,top
D12,173.5,-108.0,270.0,top
D13,148.0,-105.0,270.0,top
D14,132.0,-109.15,270.0,top
D15,115.5,-119.15,270.0,top
D16,115.5,-135.15,270.0,top
D2,173.0,-75.5,270.0,top
D3,148.0,-73.0,270.0,top
D4,132.0,-77.15,270.0,top
D5,115.5,-87.15,270.0,top
D6,180.0,-92.5,270.0,top
D7,173.5,-91.5,270.0,top
D8,148.0,-88.85,270.0,top
D9,132.0,-93.15,270.0,top
J1,162.0,-74.05,0.0,top
SW1,185.0,-74.087868,0.0,bottom
SW10,121.0,-100.087868,0.0,bottom
SW11,185.0,-106.087868,0.0,bottom
SW12,169.0,-104.087868,0.0,bottom
SW13,153.0,-102.087868,0.0,bottom
SW14,137.0,-106.087868,0.0,bottom
SW15,121.0,-116.087868,0.0,bottom
SW16,121.0,-132.087868,0.0,bottom
SW2,169.0,-72.087868,0.0,bottom
SW3,153.0,-70.087868,0.0,bottom
SW4,137.0,-74.087868,0.0,bottom
SW5,121.0,-84.087868,0.0,bottom
SW6,185.0,-90.087868,0.0,bottom
SW7,169.0,-88.087868,0.0,bottom
SW8,153.0,-86.087868,0.0,bottom
SW9,137.0,-90.087868,0.0,bottom
