Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.0,-110.0,270.0,top
C1,118.0,-110.48,270.0,top
C10,115.0,-107.0,90.0,top
C11,117.0,-106.0,180.0,top
C12,119.5,-106.0,0.0,top
C13,122.0,-106.0,180.0,top
C15,120.0,-90.0,270.0,top
C16,124.0,-106.5,270.0,top
C17,126.5,-107.0,270.0,top
C2,125.0,-109.5,180.0,top
D1,122.0,-126.0,118.6,top
D2,138.435667,-118.449507,110.0,top
D3,165.5,-108.5,100.0,top
D4,184.5,-107.5,90.0,top
J1,125.607292,-116.085219,98.0,top
R1,117.5,-90.0,270.0,top
SW1,161.78005618829224,-102.18107275762489,9.0,top
SW2,126.154953,-124.261209,151.4,bottom
SW3,142.86928,-116.700436,160.0,bottom
SW4,160.912387,-111.719771,170.0,bottom
SW5,179.505648,-110.222709,180.0,bottom
U1,124.308312,-68.620558,0.0,bottom
U2,122.0613,-98.8239,270.0,top
U3,121.0,-111.0,180.0,top
