Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.0554,-117.5,90.0,top
C1,162.5,-95.0,270.0,top
C10,179.0,-98.0,270.0,top
C11,177.0,-98.5,270.0,top
C12,175.5,-98.5,90.0,top
C13,173.0,-99.0,0.0,top
C15,170.5,-115.0,90.0,top
C16,170.0,-98.8,90.0,top
C17,168.5,-98.225,90.0,top
C2,164.0,-94.98,270.0,top
D1,172.5,-132.5,61.4,top
D2,156.5,-124.5,70.0,top
D3,138.5,-118.5,80.0,top
D4,109.5,-116.5,90.0,top
J1,168.4481,-123.58523,262.0,top
R1,173.5,-115.0,0.0,top
SW1,132.27534381170776,-109.68107275762489,9.0,bottom
SW2,167.900407,-131.761209,208.6,bottom
SW3,151.18608,-124.200436,200.0,bottom
SW4,133.142973,-119.219771,190.0,bottom
SW5,114.549712,-117.722709,180.0,bottom
U1,169.747048,-76.120558,0.0,bottom
U2,171.994,-106.3239,90.0,top
U3,164.0,-98.0,180.0,top
